Timestamp;1. Select your gender ;2.What is your profession role?;3.Select your age group;4.Level of education;1. What is your occupation?;2. What are the obligated taxes on corporate business? ;3. For which of the following corporate taxes do you believe a significant reform is needed?;4.  What are the key motivating factors in corporate income tax legislative reform?;5. Which are the most important areas in corporate legislative tax reform?;6. Do you believe that the legal tax reforms can be translated into positive change in practically?;7. Do you believe that the corporate legislative tax was the main priorities of this tax reform generally?;8. Does the corporate legislative tax reform is implemented as intended?;9. Does the communication and collaboration among reform stakeholders are adopted in the Tax Reform Process;10. Improvement of corporate tax administration encouraged Self-Assessment and registration of corporate companies. ;11. The use of Tax Identification Number (TIN) assisted corporate income tax compliance?;12. The administration reform of corporate income tax  enabled income tax compliance.;13. The administrative tax reforms increased taxpayer knowledge and awareness of corporate income tax;14. Since of corporate income tax administrative reformed, all companies voluntarily file their tax returns promptly;15. The present tax laws and policies are easy comprehensive and understandable.;16. Do you believe whether reforms have led to lower taxpayer compliance administrative burdens?;17. In your own opinion what is the overall success rate of various administrative tax reform measures in relation to corporate compliance? (Explain) ;18. The corporate tax policies and legislatives is reformed.;19. The tax laws have increased corporate income tax compliance;20. The new tax laws increased integrity of reports filled by corporates;21. The introduction of tax law has decreased the number of audit and transaction costs in corporate income tax;22. The policy tax reforms have decreased the number of fines & penalties on corporate;23. The corporate policy income tax reforms have decreased the number of corporate tax evaders and envisions. ;24. Corporate income tax reform has played a significant role in voluntary corporate tax compliance;25. Complexity in tax law   is necessary so that companies are treated fairly.;26. What should be done to improve the business taxation through this reform?;28. What are the most challenges of tax legislative reform?;Thank you so much for your time 
3/29/2023 17:48:06;Male;Tax Practitioners;21-30 years old;Degree;Tax administrator;Income Tax;c) Corporate tax administration;e) To Stimulate economy growth;b) Accelerate the domestic investment and economy.;Yes;Yes;Yes;Yes;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Agree; The various administrative tax reform mesures has improved when it is relating to corporate complience.;Strongly Agree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;f) Encourages tax transparency in legal matters.;c) Corruption in legal reform implementation;You thanks
3/29/2023 17:59:22;Male;Employee;21-30 years old;Degree;Tax administrator;Corporate income tax;b) Corporate tax procedures;a) Legal purpose;a) Reducing legal barriers of corporate return taxes;Yes;Yes;Yes;Yes;Agree;Agree;Strongly Agree;Agree;Strongly Agree;Agree;Moderate;A;Agree;Agree;Moderate;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;a) Business tax administrations are digitalized.;a) Weak administrator capacity in legal compliance;You welcome
3/29/2023 18:17:34;Male;Manager;31-40 years old;Postgraduate;Tax administrator;Payroll tax, Property tax;a) Corporate tax laws;a) Legal purpose, g) International requirement;a) Reducing legal barriers of corporate return taxes;Yes;Yes;No;No;Agree;Strongly Agree;Agree;Strongly Agree;Moderate;Agree;Moderate;"Follow the laws of tax administration and procedures 
I think if the corporate companies well understand the tax administration procedures such as the laws and other related issues ";Agree;Moderate;Disagreement;Moderate;Moderate;Agree;Agree;Agree;a) Business tax administrations are digitalized., b) Tax collections procedures are facilitated., c) Tax legislatives are transformed and improved., f) Encourages tax transparency in legal matters., g) Built tax legal knowledge base.;a) Weak administrator capacity in legal compliance, b) low taxpayer morale and compliance, d) Lack of participation and communications with stakeholders, f) Conflict of interest between legal reform parts;Also, l appreciate ?? 
3/29/2023 18:34:48;Male;Employee;21-30 years old;Degree;Others, please specify: ............................;Income Tax;a) Corporate tax laws;a) Legal purpose;a) Reducing legal barriers of corporate return taxes;Yes;Yes;Yes;Yes;Strong Disagreement;Strong Disagreement;Strong Disagreement;Strong Disagreement;Strong Disagreement;Strong Disagreement;Strong Disagreement;It helps to increase revenue ;Strong Disagreement;Strong Disagreement;Strong Disagreement;Strong Disagreement;Strong Disagreement;Strong Disagreement;Disagreement;Moderate;a) Business tax administrations are digitalized.;d) Lack of participation and communications with stakeholders;You are welcome
3/29/2023 21:56:34;Male;Tax Practitioners;31-40 years old;Postgraduate;Tax administrator;Payroll tax, Corporate income tax;b) Corporate tax procedures;b) Revenue need;a) Reducing legal barriers of corporate return taxes, c) Mitigating corruption in corporate income taxes;Yes;No;No;No;Agree;Strongly Agree;Moderate;Agree;Strong Disagreement;Agree;Disagreement;Success rate is still going slowly, the tax adminstrators have no enough understanding on the corporate plicies and regulations, also the corporate them selves dont like to exercise corporate regulations but they have enough knowledge of it, because they have proffesional legal advisors.;Agree;Disagreement;Moderate;Agree;Agree;Disagreement;Moderate;Strongly Agree;b) Tax collections procedures are facilitated., c) Tax legislatives are transformed and improved., d) Tax administrators’ legal capacities are improved., g) Built tax legal knowledge base.;a) Weak administrator capacity in legal compliance, b) low taxpayer morale and compliance;Thank you 
3/30/2023 1:37:53;Female;Employee;41-50 years old;Degree;Tax administrator;Income Tax, Payroll tax, Property tax, Corporate income tax;a) Corporate tax laws;a) Legal purpose, b) Revenue need, f) Digitalization of business income taxes, g) International requirement;e) Stimulating corporate taxes returns, f) Growing corporate legal complains;Yes;Yes;If no please specify the reasons...............................................................;Yes;Strong Disagreement;Moderate;Moderate;Moderate;Moderate;Moderate;Agree;Around 75% ;Moderate;Agree;Moderate;Agree;Moderate;Moderate;Moderate;Disagreement;a) Business tax administrations are digitalized., b) Tax collections procedures are facilitated., c) Tax legislatives are transformed and improved.;f) Conflict of interest between legal reform parts;You Welcome
3/30/2023 11:06:01;Male;Manager;31-40 years old;Postgraduate;Others, please specify: ............................;Income Tax, Payroll tax, Property tax, Corporate income tax, Others;a) Corporate tax laws;b) Revenue need;a) Reducing legal barriers of corporate return taxes;Yes;Yes;No;No;Agree;Moderate;Agree;Agree;Agree;Disagreement;Agree;60%;Agree;Agree;Disagreement;Moderate;Agree;Agree;Moderate;Agree;a) Business tax administrations are digitalized., b) Tax collections procedures are facilitated., c) Tax legislatives are transformed and improved., f) Encourages tax transparency in legal matters.;b) low taxpayer morale and compliance, f) Conflict of interest between legal reform parts;What is the purpose for this quetiinare?
3/30/2023 18:58:59;Male;Employee;21-30 years old;Degree;Tax administrator;Income Tax, Payroll tax, Corporate income tax, Others;a) Corporate tax laws;a) Legal purpose, b) Revenue need, d) Administrative reasons, g) International requirement;a) Reducing legal barriers of corporate return taxes, b) Accelerate the domestic investment and economy., d) Achieving social goals, e) Stimulating corporate taxes returns;Yes;Yes;No;Yes;Strongly Agree;Moderate;Agree;Strongly Agree;Agree;Strong Disagreement;Moderate;When talking about tax reform, it succeeds when the law is followed by all concerned be it management and employees.;Strongly Agree;Agree;Disagreement;Agree;Agree;Moderate;Agree;Agree;b) Tax collections procedures are facilitated., d) Tax administrators’ legal capacities are improved., f) Encourages tax transparency in legal matters., g) Built tax legal knowledge base., h) Promoted sustainability of tax return compliance;a) Weak administrator capacity in legal compliance, b) low taxpayer morale and compliance, c) Corruption in legal reform implementation, e) Lack of partners readiness of this reform;You Welcom
3/31/2023 19:10:28;Male;Tax Practitioners;21-30 years old;Degree;Tax administrator;Others;a) Corporate tax laws;a) Legal purpose;c) Mitigating corruption in corporate income taxes;Yes;No;Yes;Yes;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Agree;In my opinion is to have transparent system based on clear accountability on both sides of the company and revenue stream;Agree;Agree;Disagreement;Agree;Disagreement;Agree;Agree;Agree;h) Promoted sustainability of tax return compliance;b) low taxpayer morale and compliance;You well come
4/1/2023 9:27:00;Male;Employee;31-40 years old;Postgraduate;Tax administrator;Income Tax, Payroll tax, Corporate income tax, Others;a) Corporate tax laws;a) Legal purpose, b) Revenue need, d) Administrative reasons;a) Reducing legal barriers of corporate return taxes, c) Mitigating corruption in corporate income taxes, f) Growing corporate legal complains;No;No;If no please specify the reasons...............................................................;No;Moderate;Agree;Moderate;Moderate;Moderate;Moderate;Moderate;What Tax Reform?!;Moderate;Disagreement;Moderate;Disagreement;Disagreement;Disagreement;Disagreement;Agree;a) Business tax administrations are digitalized., b) Tax collections procedures are facilitated., e) Maximized acceptance of tax legitimacy, f) Encourages tax transparency in legal matters., g) Built tax legal knowledge base.;b) low taxpayer morale and compliance, c) Corruption in legal reform implementation, d) Lack of participation and communications with stakeholders;.
4/1/2023 9:51:31;Female;Manager;31-40 years old;Postgraduate;Tax administrator;Payroll tax, Property tax, Corporate income tax;a) Corporate tax laws;a) Legal purpose, b) Revenue need, d) Administrative reasons, e) To Stimulate economy growth;a) Reducing legal barriers of corporate return taxes, b) Accelerate the domestic investment and economy.;Yes;Yes;No;Yes;Agree;Strongly Agree;Agree;Strongly Agree;Moderate;Agree;Agree;In general, revenue collection have increased by an average of 20% a year in the last three years.;Agree;Agree;Disagreement;Disagreement;Agree;Agree;Agree;Disagreement;a) Business tax administrations are digitalized., c) Tax legislatives are transformed and improved., d) Tax administrators’ legal capacities are improved., e) Maximized acceptance of tax legitimacy, f) Encourages tax transparency in legal matters.;a) Weak administrator capacity in legal compliance, b) low taxpayer morale and compliance;No problem 
4/2/2023 11:22:38;Male;Manager;31-40 years old;Postgraduate;Business;Income Tax, Property tax, Corporate income tax;a) Corporate tax laws;a) Legal purpose, b) Revenue need, d) Administrative reasons;a) Reducing legal barriers of corporate return taxes, b) Accelerate the domestic investment and economy., c) Mitigating corruption in corporate income taxes;Yes;Yes;No;Yes;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Disagreement;Moderate;Disagreement; The success rate will always lower as the compliance states;Moderate;Moderate;Moderate;Disagreement;Strong Disagreement;Disagreement;Disagreement;Moderate;b) Tax collections procedures are facilitated., c) Tax legislatives are transformed and improved., d) Tax administrators’ legal capacities are improved., e) Maximized acceptance of tax legitimacy;a) Weak administrator capacity in legal compliance, b) low taxpayer morale and compliance, c) Corruption in legal reform implementation, d) Lack of participation and communications with stakeholders;Thank you
4/2/2023 11:34:50;Male;Employee;31-40 years old;Degree;Business;Income Tax, Payroll tax, Property tax;b) Corporate tax procedures;a) Legal purpose, d) Administrative reasons, f) Digitalization of business income taxes;a) Reducing legal barriers of corporate return taxes, d) Achieving social goals, e) Stimulating corporate taxes returns;Yes;Yes;Yes;No;Agree;Moderate;Agree;Agree;Moderate;Moderate;Agree;To increase tax payment we must make easier and legal process;Agree;Agree;Agree;Agree;Agree;Agree;Moderate;Agree;a) Business tax administrations are digitalized., b) Tax collections procedures are facilitated., d) Tax administrators’ legal capacities are improved., f) Encourages tax transparency in legal matters., g) Built tax legal knowledge base.;a) Weak administrator capacity in legal compliance, b) low taxpayer morale and compliance, c) Corruption in legal reform implementation, d) Lack of participation and communications with stakeholders, e) Lack of partners readiness of this reform;Tax suitable for every business level and transparence with return
4/2/2023 11:41:31;Male;Manager;41-50 years old;Postgraduate;Business;Corporate income tax;c) Corporate tax administration;b) Revenue need, e) To Stimulate economy growth, g) International requirement;c) Mitigating corruption in corporate income taxes, e) Stimulating corporate taxes returns;Yes;Yes;No;No;Agree;Strongly Agree;Agree;Agree;Moderate;Moderate;Agree;70%;Agree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Agree;a) Business tax administrations are digitalized., d) Tax administrators’ legal capacities are improved., h) Promoted sustainability of tax return compliance;a) Weak administrator capacity in legal compliance, b) low taxpayer morale and compliance, e) Lack of partners readiness of this reform;Welcome
4/2/2023 11:41:46;Male;Employee;21-30 years old;Degree;Business;Income Tax, Payroll tax, Property tax, Corporate income tax;b) Corporate tax procedures;a) Legal purpose, b) Revenue need, d) Administrative reasons, e) To Stimulate economy growth, f) Digitalization of business income taxes, g) International requirement;a) Reducing legal barriers of corporate return taxes, b) Accelerate the domestic investment and economy., d) Achieving social goals;Yes;Yes;No;Yes;Strongly Agree;Agree;Agree;Agree;Moderate;Moderate;Agree;"Remove the double taxation of corporate income Shareholder taxes on capital gains and dividends are layered on top of corporate taxes.
";Moderate;Agree;Agree;Moderate;Agree;Disagreement;Agree;Strongly Agree;a) Business tax administrations are digitalized., b) Tax collections procedures are facilitated., c) Tax legislatives are transformed and improved., d) Tax administrators’ legal capacities are improved., e) Maximized acceptance of tax legitimacy, f) Encourages tax transparency in legal matters., g) Built tax legal knowledge base., h) Promoted sustainability of tax return compliance;a) Weak administrator capacity in legal compliance, b) low taxpayer morale and compliance, c) Corruption in legal reform implementation, d) Lack of participation and communications with stakeholders, e) Lack of partners readiness of this reform, f) Conflict of interest between legal reform parts;You Welcome
4/2/2023 11:56:07;Male;Manager;41-50 years old;Postgraduate;Tax administrator;Income Tax;c) Corporate tax administration;b) Revenue need;c) Mitigating corruption in corporate income taxes;Yes;No;If no please specify the reasons...............................................................;Yes;Agree;Moderate;Agree;Agree;Moderate;Agree;Agree;To somehow, successful;Moderate;Moderate;Agree;Moderate;Agree;Agree;Agree;Agree;a) Business tax administrations are digitalized., b) Tax collections procedures are facilitated., d) Tax administrators’ legal capacities are improved., e) Maximized acceptance of tax legitimacy, f) Encourages tax transparency in legal matters., h) Promoted sustainability of tax return compliance;b) low taxpayer morale and compliance, e) Lack of partners readiness of this reform, f) Conflict of interest between legal reform parts;Ok
4/2/2023 12:04:05;Male;Employee;31-40 years old;Postgraduate;Business;Income Tax;b) Corporate tax procedures;d) Administrative reasons;a) Reducing legal barriers of corporate return taxes;Yes;Yes;No;Yes;Agree;Strongly Agree;Agree;Agree;Strongly Agree;Agree;Agree;I think aroun 50%;Strongly Agree;Agree;Agree;Strong Disagreement;Disagreement;Moderate;Moderate;Disagreement;c) Tax legislatives are transformed and improved.;d) Lack of participation and communications with stakeholders;Thanks
4/2/2023 12:05:05;Male;Manager;31-40 years old;Postgraduate;Business;Income Tax, Payroll tax, Property tax, Corporate income tax, Others;b) Corporate tax procedures;e) To Stimulate economy growth;f) Growing corporate legal complains;No;Yes;No;No;Moderate;Moderate;Moderate;Moderate;Moderate;Disagreement;Moderate;NA;Disagreement;Moderate;Strong Disagreement;Disagreement;Disagreement;Disagreement;Disagreement;Strong Disagreement;c) Tax legislatives are transformed and improved., d) Tax administrators’ legal capacities are improved.;c) Corruption in legal reform implementation, d) Lack of participation and communications with stakeholders;Thanks
4/2/2023 12:32:56;Male;Manager;41-50 years old;Diploma;Business;Income Tax, Payroll tax;a) Corporate tax laws;d) Administrative reasons;e) Stimulating corporate taxes returns;Yes;Yes;Yes;Yes;Moderate;Agree;Moderate;Moderate;Moderate;Strong Disagreement;Moderate;Very low ;Moderate;Moderate;Moderate;Disagreement;Disagreement;Disagreement;Disagreement;Strong Disagreement;d) Tax administrators’ legal capacities are improved.;d) Lack of participation and communications with stakeholders;You are welcome 
4/2/2023 16:16:22;Male;Manager;31-40 years old;Postgraduate;Business;Corporate income tax;c) Corporate tax administration;d) Administrative reasons;b) Accelerate the domestic investment and economy.;Yes;No;No;No;Strong Disagreement;Agree;Agree;Strongly Agree;Moderate;Disagreement;Disagreement;adminitrtive tax reform and corporate complaince must ;Strongly Agree;Agree;Disagreement;Disagreement;Agree;Agree;Disagreement;Agree;f) Encourages tax transparency in legal matters.;c) Corruption in legal reform implementation;goodluck
4/3/2023 14:14:42;Male;Manager;21-30 years old;Degree;Business;Payroll tax;a) Corporate tax laws;e) To Stimulate economy growth;d) Achieving social goals;Yes;Yes;No;No;Agree;Disagreement;Agree;Disagreement;Moderate;Agree;Agree;to establish a proper system for paying taxes, as well as to return some of their taxes to the taxpayers;Moderate;Agree;Disagreement;Agree;Disagreement;Moderate;Strong Disagreement;Strongly Agree;g) Built tax legal knowledge base.;c) Corruption in legal reform implementation;You deserve it
4/3/2023 14:17:07;Male;Manager;21-30 years old;Degree;Business;Corporate income tax;a) Corporate tax laws;b) Revenue need, d) Administrative reasons;a) Reducing legal barriers of corporate return taxes;Yes;Yes;If no please specify the reasons...............................................................;Yes;Strong Disagreement;Moderate;Disagreement;Moderate;Strong Disagreement;Strongly Agree;Agree;that the companies should be rewarded with the best tax payers so that they will be encouraged and the country can use its economy and we can manage the money from foreign countries.;Agree;Moderate;Moderate;Moderate;Moderate;Moderate;Moderate;Moderate;a) Business tax administrations are digitalized.;a) Weak administrator capacity in legal compliance;Thank you very much for sharing this information with me, I hope this information will be effective and implemented
4/3/2023 15:21:31;Male;Manager;31-40 years old;Postgraduate;Tax administrator;Income Tax, Payroll tax;b) Corporate tax procedures;b) Revenue need;d) Achieving social goals;No;No;No;No;Disagreement;Moderate;Disagreement;Disagreement;Moderate;Moderate;Moderate; A S ;Disagreement;Disagreement;Moderate;Moderate;Moderate;Moderate;Disagreement;Moderate;c) Tax legislatives are transformed and improved.;b) low taxpayer morale and compliance;AHMED
4/3/2023 17:29:50;Male;Employee;31-40 years old;Postgraduate;Business;Payroll tax, Property tax, Corporate income tax;a) Corporate tax laws;e) To Stimulate economy growth;c) Mitigating corruption in corporate income taxes;Yes;Yes;No;Yes;Agree;Agree;Agree;Agree;Agree;Moderate;Disagreement;Corporate tax laws must be reformed and implemented in order to achieve revenue growth;Disagreement;Disagreement;Agree;Agree;Agree;Moderate;Agree;Agree;c) Tax legislatives are transformed and improved.;f) Conflict of interest between legal reform parts;you welcome sir
4/4/2023 8:18:22;Male;Manager;21-30 years old;Postgraduate;Business;Payroll tax;a) Corporate tax laws;f) Digitalization of business income taxes;c) Mitigating corruption in corporate income taxes;Yes;Yes;Yes;Yes;Agree;Agree;Strongly Agree;Disagreement;Moderate;Agree;Strongly Agree;The government should establish a clear policy that can satisfy the company and process;Moderate;Agree;Agree;Disagreement;Agree;Disagreement;Moderate;Strongly Agree;b) Tax collections procedures are facilitated.;a) Weak administrator capacity in legal compliance;ok
4/4/2023 9:37:08;Female;Employee;31-40 years old;Postgraduate;Others, please specify: ............................;Payroll tax, Property tax, Corporate income tax;a) Corporate tax laws;a) Legal purpose, d) Administrative reasons, e) To Stimulate economy growth, f) Digitalization of business income taxes, g) International requirement;a) Reducing legal barriers of corporate return taxes, b) Accelerate the domestic investment and economy., c) Mitigating corruption in corporate income taxes;Yes;No;Yes;Yes;Agree;Agree;Agree;Agree;Moderate;Agree;Disagreement;Since Iam not in a position to tell exact number, what I know is that current reforms have an impact on voluntary compliance ;Moderate;Agree;Agree;Moderate;Moderate;Moderate;Agree;Disagreement;a) Business tax administrations are digitalized., b) Tax collections procedures are facilitated., c) Tax legislatives are transformed and improved., d) Tax administrators’ legal capacities are improved., f) Encourages tax transparency in legal matters., g) Built tax legal knowledge base., h) Promoted sustainability of tax return compliance;a) Weak administrator capacity in legal compliance, b) low taxpayer morale and compliance, c) Corruption in legal reform implementation, d) Lack of participation and communications with stakeholders, e) Lack of partners readiness of this reform, f) Conflict of interest between legal reform parts;Thank you
4/4/2023 10:32:40;Male;Employee;31-40 years old;Postgraduate;Tax administrator;Payroll tax, Corporate income tax;a) Corporate tax laws;a) Legal purpose, b) Revenue need, e) To Stimulate economy growth;a) Reducing legal barriers of corporate return taxes, b) Accelerate the domestic investment and economy., e) Stimulating corporate taxes returns;Yes;Yes;No;No;Agree;Strongly Agree;Moderate;Agree;Moderate;Disagreement;Moderate;It depend on how the reform is implemented. But currently, the reform helped to register corporates, and this led to receive taxes of payroll, corparate income tax. ;Moderate;Moderate;Agree;Moderate;Moderate;Agree;Moderate;Disagreement;a) Business tax administrations are digitalized., b) Tax collections procedures are facilitated., d) Tax administrators’ legal capacities are improved., f) Encourages tax transparency in legal matters., g) Built tax legal knowledge base.;a) Weak administrator capacity in legal compliance, b) low taxpayer morale and compliance, f) Conflict of interest between legal reform parts;You welcome
